index,spark.executor.memory,spark.driver.memory,spark.executor.cores,spark.default.parallelism,spark.driver.supervise,spark.shuffle.io.maxRetries,spark.memory.useLegacyMode,spark.driver.maxResultSize,spark.driver.cores,duration,dataSize(G),N_Node,N_Neis,Node_fetures
371,4,4,6,21,1,29,1,5,5,13.91,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 21 21 21 21 
372,8,1,1,12,1,14,1,15,8,20.025,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 12 12 12 12 
373,4,8,2,8,0,4,0,12,2,26.414,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 8 8 8 8 
374,2,2,1,26,1,40,0,8,8,41.96,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 26 26 26 26 
375,8,1,4,2,0,34,1,5,8,26.713,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 2 2 2 2 
376,8,4,3,29,0,45,0,1,1,16.992,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 29 29 29 29 
377,1,1,3,4,1,48,1,7,1,17.699,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 4 4 4 4 
378,4,4,1,27,1,36,1,9,8,35.758,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 27 27 27 27 
379,1,8,1,11,1,20,0,1,2,32.621,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 11 11 11 11 
380,1,1,3,5,0,7,1,7,9,16.187,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 5 5 5 5 
381,8,8,7,12,0,4,0,3,1,15.218,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 12 12 12 12 
382,2,8,3,17,0,17,1,10,6,26.073,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 17 17 17 17 
383,8,8,5,28,0,14,1,10,2,14.382,5,0 1 1 2 1 3 4 ,1 2 3 3 4 4 5 ,8 8 28 28 28 28 
