index,spark.executor.memory,spark.driver.memory,spark.executor.cores,spark.default.parallelism,spark.driver.supervise,spark.shuffle.io.maxRetries,spark.memory.useLegacyMode,spark.driver.maxResultSize,spark.driver.cores,duration,dataSize(G),N_Node,N_Neis,Node_fetures
448,1,8,7,14,0,49,0,4,9,28.820999999999998,10,0,1,88 14 
449,8,2,8,11,1,48,0,11,2,32.42,10,0,1,88 11 
450,4,1,5,11,1,10,0,10,7,30.776999999999997,10,0,1,88 11 
451,4,1,2,18,1,43,1,5,7,64.523,10,0,1,88 18 
452,1,2,8,17,0,38,1,15,3,27.962,10,0,1,88 17 
453,1,1,8,15,0,31,0,5,6,27.67,10,0,1,88 15 
454,4,1,2,16,1,44,1,15,7,38.872,10,0,1,88 16 
455,8,4,2,20,1,14,1,11,4,36.593,10,0,1,88 20 
456,2,8,5,21,1,44,1,3,2,31.191,10,0,1,88 21 
457,2,4,3,26,1,45,0,14,9,31.08,10,0,1,88 26 
458,1,4,1,11,1,16,0,11,2,103.47,10,0,1,88 11 
459,1,2,6,27,1,47,1,10,7,29.871,10,0,1,88 27 
460,2,1,5,29,0,18,1,7,6,29.214000000000002,10,0,1,88 29 
461,1,8,7,2,1,14,0,10,5,27.834,10,0,1,88 2 
462,4,8,4,28,0,28,0,9,5,33.187,10,0,1,88 28 
463,1,1,3,10,0,40,0,4,4,32.223,10,0,1,88 10 
464,4,1,4,22,0,21,1,13,3,31.537,10,0,1,88 22 
465,8,8,4,13,0,49,0,9,8,31.813000000000002,10,0,1,88 13 
466,2,4,5,25,0,14,0,11,3,29.989,10,0,1,88 25 
467,8,8,4,10,1,47,0,11,8,31.148000000000003,10,0,1,88 10 
468,2,8,2,4,1,23,1,11,9,38.503,10,0,1,88 4 
469,4,2,8,15,0,46,1,6,1,32.534,10,0,1,88 15 
470,8,4,3,20,1,5,0,3,9,33.068000000000005,10,0,1,88 20 
471,1,2,4,6,1,32,1,3,8,31.38,10,0,1,88 6 
472,2,4,5,11,0,48,0,14,7,29.441,10,0,1,88 11 
473,2,1,5,9,0,39,0,9,6,30.074,10,0,1,88 9 
474,1,1,4,22,0,38,1,6,9,32.041,10,0,1,88 22 
475,1,2,6,23,1,47,0,3,5,29.513,10,0,1,88 23 
476,1,1,2,15,1,4,0,13,7,37.857,10,0,1,88 15 
477,2,4,6,5,0,14,0,2,5,29.708000000000002,10,0,1,88 5 
478,2,4,4,10,1,14,1,12,7,30.926,10,0,1,88 10 
479,4,2,3,8,1,5,0,6,2,32.108000000000004,10,0,1,88 8 
480,8,2,2,10,1,7,1,8,1,64.682,10,0,1,88 10 
481,1,1,8,28,0,4,1,14,2,71.45100000000001,10,0,1,88 28 
482,1,1,5,2,0,43,1,14,2,57.623000000000005,10,0,1,88 2 
483,2,2,2,9,0,3,1,15,2,61.545,10,0,1,88 9 
484,4,4,3,13,0,34,1,9,4,36.376,10,0,1,88 13 
485,4,1,3,11,0,31,0,3,7,31.901,10,0,1,88 11 
486,8,2,1,12,0,26,0,3,1,64.65100000000001,10,0,1,88 12 
487,1,8,5,20,0,7,1,13,3,48.739,10,0,1,88 20 
488,1,1,2,3,1,25,1,14,7,108.42299999999999,10,0,1,88 3 
489,1,2,2,9,1,48,1,10,3,36.5,10,0,1,88 9 
490,2,8,8,24,0,26,1,15,8,30.408,10,0,1,88 24 
491,4,1,8,17,1,17,1,12,7,29.843000000000004,10,0,1,88 17 
492,1,8,3,24,0,45,0,8,6,30.27,10,0,1,88 24 
493,1,1,2,28,0,30,1,9,4,37.75,10,0,1,88 28 
494,4,8,7,9,1,20,0,9,3,30.403000000000002,10,0,1,88 9 
495,4,8,8,7,0,6,1,7,2,27.961,10,0,1,88 7 
496,1,1,3,23,0,43,0,11,8,32.945,10,0,1,88 23 
497,1,8,5,20,0,33,0,8,4,29.456,10,0,1,88 20 
498,2,8,2,19,1,43,0,8,1,38.121,10,0,1,88 19 
499,4,4,1,2,0,21,1,13,5,176.642,10,0,1,88 2 
500,2,2,1,25,0,35,0,1,3,183.15099999999998,10,0,1,88 25 
501,4,4,1,24,1,24,0,2,5,148.03799999999998,10,0,1,88 24 
502,1,1,8,22,1,9,1,5,5,53.071000000000005,10,0,1,88 22 
503,2,2,2,8,0,45,1,2,6,54.715,10,0,1,88 8 
504,4,2,5,22,0,31,0,14,6,34.989000000000004,10,0,1,88 22 
505,2,8,1,5,1,4,1,8,6,125.149,10,0,1,88 5 
506,4,1,3,17,1,27,0,10,6,31.748,10,0,1,88 17 
507,4,8,8,23,0,21,1,6,9,31.989,10,0,1,88 23 
508,2,2,1,14,0,42,0,1,2,126.76799999999999,10,0,1,88 14 
509,1,4,8,22,1,10,0,10,8,28.003,10,0,1,88 22 
510,8,4,6,19,1,9,0,8,1,29.726999999999997,10,0,1,88 19 
511,8,1,5,14,1,30,1,10,9,28.995,10,0,1,88 14 
512,4,2,7,19,0,13,1,7,2,31.61,10,0,1,88 19 
513,8,2,7,20,1,25,0,2,8,30.462,10,0,1,88 20 
514,4,2,8,17,1,43,0,4,1,28.403000000000002,10,0,1,88 17 
515,1,2,6,4,0,3,1,9,2,27.42,10,0,1,88 4 
516,2,2,4,26,0,20,0,14,4,32.461999999999996,10,0,1,88 26 
517,1,2,6,13,0,20,0,13,5,28.761,10,0,1,88 13 
518,4,1,5,20,0,6,1,1,8,29.831999999999997,10,0,1,88 20 
519,2,1,3,9,1,32,1,3,8,32.122,10,0,1,88 9 
520,2,2,6,5,0,19,1,6,1,29.435,10,0,1,88 5 
521,4,8,4,10,1,17,1,5,9,29.301,10,0,1,88 10 
522,8,4,4,15,0,4,0,8,6,33.278,10,0,1,88 15 
523,8,1,3,26,0,47,0,11,1,32.556999999999995,10,0,1,88 26 
524,8,1,8,26,0,45,1,6,7,29.559,10,0,1,88 26 
525,8,1,1,23,1,23,0,10,8,59.773999999999994,10,0,1,88 23 
526,2,8,8,10,0,14,0,10,3,29.322,10,0,1,88 10 
527,4,4,2,28,1,11,1,15,9,68.22399999999999,10,0,1,88 28 
528,1,2,6,28,1,6,0,7,2,29.015,10,0,1,88 28 
529,8,1,3,26,0,47,0,8,3,33.943000000000005,10,0,1,88 26 
530,4,4,8,10,1,44,0,7,6,29.553,10,0,1,88 10 
531,4,1,6,4,1,11,1,13,3,29.621,10,0,1,88 4 
532,8,4,4,15,0,6,0,8,5,30.987,10,0,1,88 15 
533,1,4,5,15,1,41,0,10,3,31.425,10,0,1,88 15 
534,4,1,6,7,1,47,1,9,9,29.976999999999997,10,0,1,88 7 
535,4,8,8,14,1,29,1,15,6,29.046,10,0,1,88 14 
536,8,1,3,14,1,27,1,15,5,31.186,10,0,1,88 14 
537,1,1,2,12,0,15,1,3,4,40.161,10,0,1,88 12 
538,8,4,3,13,0,47,1,10,3,36.747,10,0,1,88 13 
539,2,8,8,17,0,25,0,8,6,28.381999999999998,10,0,1,88 17 
540,1,8,1,6,1,6,1,2,1,119.161,10,0,1,88 6 
541,2,2,4,6,0,26,1,4,9,29.873,10,0,1,88 6 
542,2,1,1,24,1,25,0,7,2,167.05700000000002,10,0,1,88 24 
543,2,2,6,15,1,28,0,14,1,29.051,10,0,1,88 15 
544,1,2,5,14,1,18,1,7,3,30.405,10,0,1,88 14 
545,1,2,2,13,1,30,0,7,9,62.489,10,0,1,88 13 
546,8,8,2,27,1,5,1,1,3,37.883,10,0,1,88 27 
547,1,1,8,3,0,32,1,11,5,31.794,10,0,1,88 3 
548,4,4,5,10,1,36,0,2,9,33.885,10,0,1,88 10 
549,1,8,8,19,0,16,0,10,7,29.405,10,0,1,88 19 
550,8,8,3,5,1,32,0,15,6,32.741,10,0,1,88 5 
551,4,1,4,8,0,14,1,4,7,32.287,10,0,1,88 8 
552,8,8,7,10,1,11,1,2,1,29.458000000000002,10,0,1,88 10 
553,1,2,5,5,0,6,1,7,7,30.741999999999997,10,0,1,88 5 
554,8,2,1,14,0,13,1,9,8,56.586000000000006,10,0,1,88 14 
555,2,4,2,25,1,47,0,1,6,78.77600000000001,10,0,1,88 25 
556,8,4,5,29,1,20,0,8,9,31.415,10,0,1,88 29 
557,2,1,5,20,1,7,0,14,2,27.781999999999996,10,0,1,88 20 
558,2,1,4,4,0,24,1,14,4,31.421999999999997,10,0,1,88 4 
559,4,8,1,25,1,44,1,5,4,114.37899999999999,10,0,1,88 25 
560,4,2,5,25,1,18,1,15,2,36.372,10,0,1,88 25 
561,8,2,1,10,0,3,1,2,1,62.922,10,0,1,88 10 
562,4,1,1,13,1,47,1,2,1,145.711,10,0,1,88 13 
563,1,1,2,17,1,21,1,14,5,66.062,10,0,1,88 17 
564,8,4,7,15,1,8,0,4,6,29.081999999999997,10,0,1,88 15 
565,1,8,1,16,1,20,0,12,4,138.484,10,0,1,88 16 
566,1,4,1,19,0,34,0,7,9,110.021,10,0,1,88 19 
567,8,2,5,22,0,15,1,5,3,32.566,10,0,1,88 22 
568,2,8,7,28,0,26,0,13,9,28.425,10,0,1,88 28 
569,8,8,2,28,1,36,0,8,2,35.288000000000004,10,0,1,88 28 
570,1,4,1,12,0,43,0,2,7,118.348,10,0,1,88 12 
571,4,8,2,25,0,13,1,10,3,59.974,10,0,1,88 25 
572,8,8,3,14,1,10,0,5,1,31.997,10,0,1,88 14 
573,4,4,6,24,0,44,0,12,1,29.158,10,0,1,88 24 
574,1,2,7,25,1,27,0,5,5,29.404,10,0,1,88 25 
575,1,4,7,15,1,31,1,9,4,29.677,10,0,1,88 15 
576,8,2,2,4,0,24,1,1,9,35.67,10,0,1,88 4 
577,8,1,8,4,0,24,1,6,8,33.698,10,0,1,88 4 
578,4,1,4,24,0,13,1,14,6,31.788,10,0,1,88 24 
579,4,2,1,3,0,42,0,6,7,151.602,10,0,1,88 3 
580,4,2,2,29,1,16,1,10,5,108.764,10,0,1,88 29 
581,4,4,1,24,1,27,1,15,8,148.555,10,0,1,88 24 
582,4,2,2,29,0,39,1,6,3,89.302,10,0,1,88 29 
583,8,1,2,2,0,47,1,11,9,54.17100000000001,10,0,1,88 2 
584,4,4,2,11,0,48,0,5,8,60.54,10,0,1,88 11 
585,1,2,6,2,0,20,1,7,3,30.916,10,0,1,88 2 
586,8,2,5,3,1,43,0,1,4,31.463,10,0,1,88 3 
587,8,8,1,24,1,23,0,8,7,42.773,10,0,1,88 24 
588,1,2,7,18,0,44,1,8,8,27.684,10,0,1,88 18 
589,4,1,8,15,1,49,1,10,4,31.448,10,0,1,88 15 
590,2,2,6,11,1,20,1,14,4,29.107,10,0,1,88 11 
591,2,4,6,2,1,21,0,2,6,29.068,10,0,1,88 2 
592,8,1,3,27,1,43,0,12,2,32.513000000000005,10,0,1,88 27 
593,8,8,5,19,0,38,0,7,1,30.66,10,0,1,88 19 
594,2,8,3,22,1,39,0,2,8,31.519000000000002,10,0,1,88 22 
595,2,8,3,23,0,25,1,2,3,31.230999999999998,10,0,1,88 23 
596,1,1,8,19,1,24,1,13,9,29.476,10,0,1,88 19 
597,4,8,3,22,1,19,0,1,8,33.336,10,0,1,88 22 
598,4,1,6,6,1,17,1,1,6,29.476,10,0,1,88 6 
599,8,8,8,23,1,33,1,5,2,29.767,10,0,1,88 23 
600,2,4,7,19,0,40,0,7,5,30.384,10,0,1,88 19 
601,2,4,5,28,1,41,1,15,6,30.025,10,0,1,88 28 
602,4,1,7,6,1,13,1,6,6,28.449,10,0,1,88 6 
603,2,1,3,20,1,10,1,6,1,31.066,10,0,1,88 20 
604,2,1,3,28,0,41,1,4,2,33.098,10,0,1,88 28 
605,8,8,2,25,0,33,0,3,2,37.271,10,0,1,88 25 
606,2,4,4,28,0,29,1,1,5,32.969,10,0,1,88 28 
607,4,2,3,28,0,48,1,7,8,35.376999999999995,10,0,1,88 28 
608,1,4,7,2,1,38,1,14,9,29.000999999999998,10,0,1,88 2 
609,8,4,4,28,1,42,0,14,9,34.12,10,0,1,88 28 
610,8,4,5,25,1,17,0,15,8,32.894,10,0,1,88 25 
611,4,1,2,19,0,36,1,10,5,39.538000000000004,10,0,1,88 19 
612,8,8,2,6,0,39,0,3,5,37.043,10,0,1,88 6 
613,2,1,8,4,1,28,0,6,7,32.179,10,0,1,88 4 
614,1,4,7,6,0,43,1,6,7,29.923000000000002,10,0,1,88 6 
615,1,4,7,22,1,8,0,7,9,29.805999999999997,10,0,1,88 22 
616,4,2,8,19,0,27,0,8,8,28.607,10,0,1,88 19 
617,8,8,3,27,0,6,1,3,4,31.225,10,0,1,88 27 
618,4,2,4,25,1,36,0,15,2,34.601,10,0,1,88 25 
619,1,2,2,7,1,14,0,2,4,37.015,10,0,1,88 7 
620,1,4,8,4,1,42,1,7,5,32.742,10,0,1,88 4 
621,1,4,6,9,1,33,0,7,7,28.578000000000003,10,0,1,88 9 
622,2,1,3,12,0,16,1,10,5,31.296,10,0,1,88 12 
623,2,1,8,22,1,39,0,4,1,27.947,10,0,1,88 22 
624,1,4,1,9,1,8,1,8,8,120.65100000000001,10,0,1,88 9 
625,8,8,7,9,0,33,0,1,5,29.526999999999997,10,0,1,88 9 
626,1,1,6,11,0,26,0,3,6,29.073,10,0,1,88 11 
627,2,1,1,3,1,45,0,11,5,144.002,10,0,1,88 3 
628,1,2,2,25,1,48,1,12,4,72.524,10,0,1,88 25 
629,4,8,5,2,0,4,0,3,8,29.51,10,0,1,88 2 
630,8,4,6,25,0,16,1,9,7,29.435,10,0,1,88 25 
631,4,8,2,20,1,16,0,6,8,41.496,10,0,1,88 20 
632,1,1,6,3,0,14,1,5,3,29.976999999999997,10,0,1,88 3 
633,8,2,6,29,0,25,0,11,8,29.141,10,0,1,88 29 
634,2,1,4,26,0,41,0,14,7,33.012,10,0,1,88 26 
635,1,2,3,7,0,29,0,1,2,31.715,10,0,1,88 7 
636,1,2,6,15,0,49,1,8,9,28.936,10,0,1,88 15 
637,4,4,3,13,1,45,0,9,9,31.015,10,0,1,88 13 
638,1,8,8,15,0,38,1,9,6,28.781,10,0,1,88 15 
639,4,8,2,18,0,10,0,11,9,39.22,10,0,1,88 18 
640,2,8,8,8,1,45,0,14,7,30.863000000000003,10,0,1,88 8 
641,4,2,7,25,0,10,1,2,6,29.627,10,0,1,88 25 
642,2,2,6,2,0,38,1,2,7,29.086,10,0,1,88 2 
643,4,8,4,24,0,29,1,6,4,31.158,10,0,1,88 24 
644,1,4,1,26,0,18,0,14,5,132.099,10,0,1,88 26 
645,4,2,5,4,0,6,0,14,9,28.276999999999997,10,0,1,88 4 
646,2,4,8,23,0,18,0,6,1,27.334,10,0,1,88 23 
647,2,2,8,12,0,39,0,10,5,28.583000000000002,10,0,1,88 12 
648,1,8,3,16,1,9,1,15,2,30.743000000000002,10,0,1,88 16 
649,1,4,2,2,0,31,1,7,4,39.019,10,0,1,88 2 
650,8,8,6,26,0,12,1,11,7,33.507,10,0,1,88 26 
