index,spark.executor.memory,spark.driver.memory,spark.executor.cores,spark.default.parallelism,spark.driver.supervise,spark.shuffle.io.maxRetries,spark.memory.useLegacyMode,spark.driver.maxResultSize,spark.driver.cores,duration,dataSize(G),N_Node,N_Neis,Node_fetures
576,4,1,8,12,0,15,0,15,6,12.988,5,1 2 1 2 3 4 1 5 2 6 3 4 13 10 11 12 9 14 8 15 13 10 11 19 20 24 22 17 21 18 25 23 19 20 24 22 26 34 32 36 28 29 46 38 42 39 44 48 52 49 56 54 ,4 4 4 4 5 5 6 6 6 7 7 7 14 14 14 15 15 15 15 16 16 16 16 25 25 25 25 26 26 26 26 26 27 27 27 27 27 37 37 37 37 37 47 47 47 47 47 57 57 57 57 57 ,8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 
577,2,4,2,27,1,46,0,7,7,16.969,5,1 2 1 2 3 4 1 5 2 6 3 4 13 10 11 12 9 14 8 15 13 10 11 19 20 24 22 17 21 18 25 23 19 20 24 22 26 34 32 36 28 29 46 38 42 39 44 48 52 49 56 54 ,4 4 4 4 5 5 6 6 6 7 7 7 14 14 14 15 15 15 15 16 16 16 16 25 25 25 25 26 26 26 26 26 27 27 27 27 27 37 37 37 37 37 47 47 47 47 47 57 57 57 57 57 ,8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 
578,2,4,2,19,1,30,0,11,6,19.705,5,1 2 1 2 3 4 1 5 2 6 3 4 13 10 11 12 9 14 8 15 13 10 11 19 20 24 22 17 21 18 25 23 19 20 24 22 26 34 32 36 28 29 46 38 42 39 44 48 52 49 56 54 ,4 4 3 3 5 5 6 6 6 7 7 7 14 14 14 15 15 15 15 16 16 16 16 25 25 25 25 26 26 26 26 26 27 27 27 27 27 37 37 37 37 37 47 47 47 47 47 57 57 57 57 57 ,8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 
579,8,4,6,17,0,48,0,8,7,13.41,5,1 2 1 2 3 4 1 5 2 6 3 4 13 10 11 12 9 14 8 15 13 10 11 19 20 24 22 17 21 18 25 23 19 20 24 22 26 34 32 36 28 29 46 38 42 39 44 48 52 49 56 54 ,4 4 4 4 5 5 6 6 6 7 7 7 14 14 14 15 15 15 15 16 16 16 16 25 25 25 25 26 26 26 26 26 27 27 27 27 27 37 37 37 37 37 47 47 47 47 47 57 57 57 57 57 ,8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 
580,4,8,6,20,0,25,1,4,7,13.291,5,1 2 1 2 3 4 1 5 2 6 3 4 13 10 11 12 9 14 8 15 13 10 11 19 20 24 22 17 21 18 25 23 19 20 24 22 26 34 32 36 28 29 46 38 42 39 44 48 52 49 56 54 ,4 4 4 4 5 5 6 6 6 7 7 7 14 14 14 15 15 15 15 16 16 16 16 25 25 25 25 26 26 26 26 26 27 27 27 27 27 37 37 37 37 37 47 47 47 47 47 57 57 57 57 57 ,8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 
581,4,8,6,18,0,17,0,1,2,12.868,5,1 2 1 2 3 4 1 5 2 6 3 4 13 10 11 12 9 14 8 15 13 10 11 19 20 24 22 17 21 18 25 23 19 20 24 22 26 34 32 36 28 29 46 38 42 39 44 48 52 49 56 54 ,4 4 4 4 5 5 6 6 6 7 7 7 14 14 14 15 15 15 15 16 16 16 16 25 25 25 25 26 26 26 26 26 27 27 27 27 27 37 37 37 37 37 47 47 47 47 47 57 57 57 57 57 ,8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 
582,4,1,4,17,1,25,1,12,6,17.328,5,1 2 1 2 3 4 1 5 2 6 3 4 13 10 11 12 9 14 8 15 13 10 11 19 20 24 22 17 21 18 25 23 19 20 24 22 26 34 32 36 28 29 46 38 42 39 44 48 52 49 56 54 ,4 4 4 4 5 5 6 6 6 7 7 7 14 14 14 15 15 15 15 16 16 16 16 25 25 25 25 26 26 26 26 26 27 27 27 27 27 37 37 37 37 37 47 47 47 47 47 57 57 57 57 57 ,8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 
583,2,4,3,28,1,24,1,3,2,16.076,5,1 2 1 2 3 4 1 5 2 6 3 4 13 10 11 12 9 14 8 15 13 10 11 19 20 24 22 17 21 18 25 23 19 20 24 22 26 34 32 36 28 29 46 38 42 39 44 48 52 49 56 54 ,4 4 3 3 5 5 6 6 6 7 7 7 14 14 14 15 15 15 15 16 16 16 16 25 25 25 25 26 26 26 26 26 27 27 27 27 27 37 37 37 37 37 47 47 47 47 47 57 57 57 57 57 ,8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 
584,8,1,8,2,1,17,1,13,4,13.453,5,1 2 1 2 3 4 1 5 2 6 3 4 13 10 11 12 9 14 8 15 13 10 11 19 20 24 22 17 21 18 25 23 19 20 24 22 26 34 32 36 28 29 46 38 42 39 44 48 52 49 56 54 ,4 4 4 4 5 5 6 6 6 7 7 7 14 14 14 15 15 15 15 16 16 16 16 25 25 25 25 26 26 26 26 26 27 27 27 27 27 37 37 37 37 37 47 47 47 47 47 57 57 57 57 57 ,8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 
585,1,2,4,18,1,26,1,14,3,16.434,5,1 2 1 2 3 4 1 5 2 6 3 4 13 10 11 12 9 14 8 15 13 10 11 19 20 24 22 17 21 18 25 23 19 20 24 22 26 34 32 36 28 29 46 38 42 39 44 48 52 49 56 54 ,4 4 4 4 5 5 6 6 6 7 7 7 14 14 14 15 15 15 15 16 16 16 16 25 25 25 25 26 26 26 26 26 27 27 27 27 27 37 37 37 37 37 47 47 47 47 47 57 57 57 57 57 ,8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 
586,4,8,2,14,1,32,1,12,6,23.625,5,1 2 1 2 3 4 1 5 2 6 3 4 13 10 11 12 9 14 8 15 13 10 11 19 20 24 22 17 21 18 25 23 19 20 24 22 26 34 32 36 28 29 46 38 42 39 44 48 52 49 56 54 ,4 4 4 4 5 5 6 6 6 7 7 7 14 14 14 15 15 15 15 16 16 16 16 25 25 25 25 26 26 26 26 26 27 27 27 27 27 37 37 37 37 37 47 47 47 47 47 57 57 57 57 57 ,8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 
587,1,1,4,15,1,12,1,2,1,18.168,5,1 2 1 2 3 4 1 5 2 6 3 4 13 10 11 12 9 14 8 15 13 10 11 19 20 24 22 17 21 18 25 23 19 20 24 22 26 34 32 36 28 29 46 38 42 39 44 48 52 49 56 54 ,4 4 4 4 5 5 6 6 6 7 7 7 14 14 14 15 15 15 15 16 16 16 16 25 25 25 25 26 26 26 26 26 27 27 27 27 27 37 37 37 37 37 47 47 47 47 47 57 57 57 57 57 ,8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 
588,8,2,2,16,1,11,0,13,5,20.034,5,1 2 1 2 3 4 1 5 2 6 3 4 13 10 11 12 9 14 8 15 13 10 11 19 20 24 22 17 21 18 25 23 19 20 24 22 26 34 32 36 28 29 46 38 42 39 44 48 52 49 56 54 ,4 4 3 3 5 5 6 6 6 7 7 7 14 14 14 15 15 15 15 16 16 16 16 25 25 25 25 26 26 26 26 26 27 27 27 27 27 37 37 37 37 37 47 47 47 47 47 57 57 57 57 57 ,8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 
589,1,2,3,29,0,19,0,4,7,16.651,5,1 2 1 2 3 4 1 5 2 6 3 4 13 10 11 12 9 14 8 15 13 10 11 19 20 24 22 17 21 18 25 23 19 20 24 22 26 34 32 36 28 29 46 38 42 39 44 48 52 49 56 54 ,4 4 3 3 5 5 6 6 6 7 7 7 14 14 14 15 15 15 15 16 16 16 16 25 25 25 25 26 26 26 26 26 27 27 27 27 27 37 37 37 37 37 47 47 47 47 47 57 57 57 57 57 ,8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 
590,8,2,6,24,1,48,0,14,7,12.87,5,1 2 1 2 3 4 1 5 2 6 3 4 13 10 11 12 9 14 8 15 13 10 11 19 20 24 22 17 21 18 25 23 19 20 24 22 26 34 32 36 28 29 46 38 42 39 44 48 52 49 56 54 ,4 4 4 4 5 5 6 6 6 7 7 7 14 14 14 15 15 15 15 16 16 16 16 25 25 25 25 26 26 26 26 26 27 27 27 27 27 37 37 37 37 37 47 47 47 47 47 57 57 57 57 57 ,8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 
591,2,1,8,7,0,11,1,5,7,13.155,5,1 2 1 2 3 4 1 5 2 6 3 4 13 10 11 12 9 14 8 15 13 10 11 19 20 24 22 17 21 18 25 23 19 20 24 22 26 34 32 36 28 29 46 38 42 39 44 48 52 49 56 54 ,4 4 4 4 5 5 6 6 6 7 7 7 14 14 14 15 15 15 15 16 16 16 16 25 25 25 25 26 26 26 26 26 27 27 27 27 27 37 37 37 37 37 47 47 47 47 47 57 57 57 57 57 ,8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 
592,1,2,4,14,1,38,0,1,2,17.185,5,1 2 1 2 3 4 1 5 2 6 3 4 13 10 11 12 9 14 8 15 13 10 11 19 20 24 22 17 21 18 25 23 19 20 24 22 26 34 32 36 28 29 46 38 42 39 44 48 52 49 56 54 ,4 4 4 4 5 5 6 6 6 7 7 7 14 14 14 15 15 15 15 16 16 16 16 25 25 25 25 26 26 26 26 26 27 27 27 27 27 37 37 37 37 37 47 47 47 47 47 57 57 57 57 57 ,8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 
593,2,4,6,18,0,25,1,3,1,13.307,5,1 2 1 2 3 4 1 5 2 6 3 4 13 10 11 12 9 14 8 15 13 10 11 19 20 24 22 17 21 18 25 23 19 20 24 22 26 34 32 36 28 29 46 38 42 39 44 48 52 49 56 54 ,4 4 4 4 5 5 6 6 6 7 7 7 14 14 14 15 15 15 15 16 16 16 16 25 25 25 25 26 26 26 26 26 27 27 27 27 27 37 37 37 37 37 47 47 47 47 47 57 57 57 57 57 ,8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 
594,8,2,2,26,0,6,0,13,3,18.744,5,1 2 1 2 3 4 1 5 2 6 3 4 13 10 11 12 9 14 8 15 13 10 11 19 20 24 22 17 21 18 25 23 19 20 24 22 26 34 32 36 28 29 46 38 42 39 44 48 52 49 56 54 ,4 4 3 3 5 5 6 6 6 7 7 7 14 14 14 15 15 15 15 16 16 16 16 25 25 25 25 26 26 26 26 26 27 27 27 27 27 37 37 37 37 37 47 47 47 47 47 57 57 57 57 57 ,8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 
595,2,4,1,19,1,40,1,2,1,27.593,5,1 2 1 2 3 4 1 5 2 6 3 4 13 10 11 12 9 14 8 15 13 10 11 19 20 24 22 17 21 18 25 23 19 20 24 22 26 34 32 36 28 29 46 38 42 39 44 48 52 49 56 54 ,4 4 4 4 5 5 6 6 6 7 7 7 14 14 14 15 15 15 15 16 16 16 16 25 25 25 25 26 26 26 26 26 27 27 27 27 27 37 37 37 37 37 47 47 47 47 47 57 57 57 57 57 ,8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 
596,8,1,6,24,1,19,1,2,6,13.923,5,1 2 1 2 3 4 1 5 2 6 3 4 13 10 11 12 9 14 8 15 13 10 11 19 20 24 22 17 21 18 25 23 19 20 24 22 26 34 32 36 28 29 46 38 42 39 44 48 52 49 56 54 ,4 4 4 4 5 5 6 6 6 7 7 7 14 14 14 15 15 15 15 16 16 16 16 25 25 25 25 26 26 26 26 26 27 27 27 27 27 37 37 37 37 37 47 47 47 47 47 57 57 57 57 57 ,8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 
597,2,1,6,7,0,46,0,2,6,15.13,5,1 2 1 2 3 4 1 5 2 6 3 4 13 10 11 12 9 14 8 15 13 10 11 19 20 24 22 17 21 18 25 23 19 20 24 22 26 34 32 36 28 29 46 38 42 39 44 48 52 49 56 54 ,4 4 4 4 5 5 6 6 6 7 7 7 14 14 14 15 15 15 15 16 16 16 16 25 25 25 25 26 26 26 26 26 27 27 27 27 27 37 37 37 37 37 47 47 47 47 47 57 57 57 57 57 ,8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 
598,2,2,6,7,0,30,1,5,2,13.246,5,1 2 1 2 3 4 1 5 2 6 3 4 13 10 11 12 9 14 8 15 13 10 11 19 20 24 22 17 21 18 25 23 19 20 24 22 26 34 32 36 28 29 46 38 42 39 44 48 52 49 56 54 ,4 4 4 4 5 5 6 6 6 7 7 7 14 14 14 15 15 15 15 16 16 16 16 25 25 25 25 26 26 26 26 26 27 27 27 27 27 37 37 37 37 37 47 47 47 47 47 57 57 57 57 57 ,8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 
599,2,2,2,18,0,10,1,2,8,18.367,5,1 2 1 2 3 4 1 5 2 6 3 4 13 10 11 12 9 14 8 15 13 10 11 19 20 24 22 17 21 18 25 23 19 20 24 22 26 34 32 36 28 29 46 38 42 39 44 48 52 49 56 54 ,4 4 3 3 5 5 6 6 6 7 7 7 14 14 14 15 15 15 15 16 16 16 16 25 25 25 25 26 26 26 26 26 27 27 27 27 27 37 37 37 37 37 47 47 47 47 47 57 57 57 57 57 ,8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 
