index,spark.executor.memory,spark.driver.memory,spark.executor.cores,spark.default.parallelism,spark.driver.supervise,spark.shuffle.io.maxRetries,spark.memory.useLegacyMode,spark.driver.maxResultSize,spark.driver.cores,duration,dataSize(G),N_Node,N_Neis,Node_fetures
93,2,4,3,20,1,21,0,10,8,223.858,30,0,1,248 20 
94,4,4,6,23,1,25,0,10,2,114.251,30,0,1,248 23 
95,8,1,3,16,0,39,1,8,7,83.83200000000001,30,0,1,248 16 
96,8,1,3,17,1,17,0,11,9,85.45700000000001,30,0,1,248 17 
97,1,1,2,5,1,29,1,6,6,110.462,30,0,1,248 5 
98,1,1,2,5,0,3,1,6,7,105.17200000000001,30,0,1,248 5 
99,8,1,3,19,1,32,1,8,1,87.51,30,0,1,248 19 
100,2,2,3,5,1,15,0,9,3,82.257,30,0,1,248 5 
101,1,2,2,11,1,49,0,1,1,122.61200000000001,30,0,1,248 11 
102,4,2,3,28,0,12,0,13,1,69.945,30,0,1,248 28 
103,8,8,4,7,0,4,1,5,9,100.459,30,0,1,248 7 
104,2,2,7,28,0,25,1,15,5,111.045,30,0,1,248 28 
105,4,4,1,15,1,37,0,14,4,385.02,30,0,1,248 15 
106,1,4,2,12,0,8,0,7,9,350.061,30,0,1,248 12 
107,1,2,4,28,0,48,1,10,8,184.08,30,0,1,248 28 
108,4,2,3,16,1,17,0,14,4,162.709,30,0,1,248 16 
109,4,1,1,10,1,19,1,1,8,323.248,30,0,1,248 10 
110,4,8,8,28,1,19,1,2,4,176.19400000000002,30,0,1,248 28 
111,2,4,7,19,0,27,0,13,6,124.264,30,0,1,248 19 
112,4,2,7,17,0,31,0,13,2,147.662,30,0,1,248 17 
113,8,2,3,19,1,7,0,2,9,123.781,30,0,1,248 19 
114,4,1,6,12,1,32,0,5,2,57.512,30,0,1,248 12 
115,2,1,5,7,0,40,0,12,4,57.06399999999999,30,0,1,248 7 
116,2,2,8,15,1,17,0,5,8,53.128,30,0,1,248 15 
117,2,8,5,29,1,49,1,2,6,57.63,30,0,1,248 29 
118,2,2,4,6,0,48,1,1,4,58.025,30,0,1,248 6 
119,2,8,4,10,1,35,0,6,5,59.973,30,0,1,248 10 
120,1,1,6,25,0,49,1,13,3,54.501999999999995,30,0,1,248 25 
121,1,1,6,11,0,9,0,6,9,55.007,30,0,1,248 11 
122,8,4,7,18,0,15,0,12,2,56.383,30,0,1,248 18 
123,8,4,5,11,1,13,1,5,1,58.355,30,0,1,248 11 
124,4,2,3,17,1,47,1,13,9,58.102,30,0,1,248 17 
125,4,2,3,3,1,48,0,13,3,56.782,30,0,1,248 3 
126,2,4,1,25,1,18,0,8,6,301.188,30,0,1,248 25 
127,2,4,1,13,0,13,0,14,2,349.56300000000005,30,0,1,248 13 
128,2,2,4,26,1,49,1,6,2,224.458,30,0,1,248 26 
129,1,4,1,21,0,21,1,14,5,229.079,30,0,1,248 21 
130,8,8,7,25,1,5,1,12,8,95.09899999999999,30,0,1,248 25 
131,8,1,2,9,1,9,0,9,7,202.394,30,0,1,248 9 
132,2,2,5,19,0,5,0,7,4,198.197,30,0,1,248 19 
133,1,4,1,9,1,37,0,5,5,312.655,30,0,1,248 9 
134,1,8,8,26,1,17,1,10,1,77.964,30,0,1,248 26 
135,8,1,7,8,0,22,1,14,2,58.997,30,0,1,248 8 
136,4,2,2,8,1,23,0,8,5,191.192,30,0,1,248 8 
137,2,1,2,15,0,20,1,15,3,203.055,30,0,1,248 15 
138,8,4,4,20,1,15,0,10,1,146.244,30,0,1,248 20 
139,8,4,4,7,1,33,1,7,2,114.666,30,0,1,248 7 
140,2,4,7,19,1,10,1,11,7,122.51799999999999,30,0,1,248 19 
141,1,4,4,16,1,12,1,7,2,64.64399999999999,30,0,1,248 16 
142,1,2,5,4,1,23,0,1,7,58.117,30,0,1,248 4 
143,1,8,2,21,0,41,1,5,6,85.458,30,0,1,248 21 
144,4,8,1,17,1,36,0,11,6,330.028,30,0,1,248 17 
145,2,4,7,16,0,13,0,5,4,251.16299999999998,30,0,1,248 16 
146,2,8,3,21,0,29,1,3,1,156.341,30,0,1,248 21 
147,8,2,4,29,0,5,0,15,3,114.479,30,0,1,248 29 
148,2,1,6,24,1,29,1,2,6,66.47399999999999,30,0,1,248 24 
149,4,8,2,27,0,21,1,7,3,101.881,30,0,1,248 27 
150,2,2,7,18,1,27,1,9,2,86.31299999999999,30,0,1,248 18 
151,1,4,6,21,1,35,0,6,3,74.154,30,0,1,248 21 
152,4,1,4,16,0,50,1,14,1,71.277,30,0,1,248 16 
153,2,2,8,10,1,46,1,4,2,51.601000000000006,30,0,1,248 10 
154,1,8,4,14,0,9,1,11,6,54.195,30,0,1,248 14 
155,4,2,7,19,1,33,0,8,9,53.688,30,0,1,248 19 
156,4,8,6,6,1,14,1,12,8,53.644,30,0,1,248 6 
157,4,1,3,12,0,45,0,16,7,58.342,30,0,1,248 12 
158,4,4,3,22,0,15,0,2,4,59.901,30,0,1,248 22 
159,1,1,8,23,0,5,1,1,5,56.308,30,0,1,248 23 
160,2,8,4,20,1,13,0,7,10,58.06399999999999,30,0,1,248 20 
161,2,1,5,13,0,7,1,2,1,327.99800000000005,30,0,1,248 13 
162,4,4,1,21,0,13,1,14,2,501.648,30,0,1,248 21 
163,4,8,7,26,1,27,1,11,4,234.18,30,0,1,248 26 
164,8,4,5,28,1,24,1,2,4,163.822,30,0,1,248 28 
165,8,4,8,10,0,41,1,6,9,147.588,30,0,1,248 10 
166,2,1,6,3,1,41,0,8,2,92.007,30,0,1,248 3 
167,2,8,2,14,0,46,0,14,6,176.662,30,0,1,248 14 
168,4,2,1,18,0,16,1,5,7,415.54,30,0,1,248 18 
169,2,1,3,17,1,22,1,7,5,312.921,30,0,1,248 17 
170,4,1,1,28,0,3,0,4,4,476.14,30,0,1,248 28 
171,1,2,7,19,1,22,0,1,8,294.122,30,0,1,248 19 
172,8,2,6,23,0,22,1,13,2,188.937,30,0,1,248 23 
173,2,8,4,24,0,14,0,9,6,145.856,30,0,1,248 24 
174,8,4,8,26,0,42,1,14,7,80.021,30,0,1,248 26 
175,8,8,1,6,0,37,0,8,7,206.428,30,0,1,248 6 
176,8,8,5,28,0,10,0,2,4,142.041,30,0,1,248 28 
177,2,1,8,27,1,45,1,5,3,125.443,30,0,1,248 27 
178,4,1,6,29,0,21,0,11,3,130.14600000000002,30,0,1,248 29 
179,8,1,4,27,1,45,1,7,8,117.88799999999999,30,0,1,248 27 
180,4,2,3,5,0,28,0,3,4,102.177,30,0,1,248 5 
181,1,2,4,6,1,46,1,1,9,83.149,30,0,1,248 6 
182,8,2,4,17,1,42,1,15,7,96.93799999999999,30,0,1,248 17 
183,8,8,1,18,0,45,1,4,9,143.036,30,0,1,248 18 
184,2,1,1,15,1,11,1,2,3,368.121,30,0,1,248 15 
185,1,8,5,14,0,33,0,3,2,156.835,30,0,1,248 14 
186,2,4,4,16,1,18,1,13,3,160.993,30,0,1,248 16 
187,4,8,4,16,1,39,0,3,8,110.99600000000001,30,0,1,248 16 
188,4,8,3,17,0,22,0,4,5,74.811,30,0,1,248 17 
189,2,8,7,18,0,38,1,15,9,55.068999999999996,30,0,1,248 18 
190,4,4,4,13,0,20,0,11,6,61.153999999999996,30,0,1,248 13 
191,8,2,7,15,1,4,0,14,2,61.117,30,0,1,248 15 
192,4,1,2,27,1,42,0,6,4,232.572,30,0,1,248 27 
193,8,4,2,14,0,15,0,12,1,292.813,30,0,1,248 14 
194,4,2,8,23,1,23,1,6,1,235.139,30,0,1,248 23 
195,2,4,3,16,0,23,1,12,4,194.262,30,0,1,248 16 
196,4,8,3,24,1,22,0,8,7,129.04,30,0,1,248 24 
197,8,8,2,23,0,5,0,7,1,238.032,30,0,1,248 23 
198,1,8,8,11,1,36,0,2,7,198.949,30,0,1,248 11 
199,4,2,2,15,0,41,1,14,8,238.39,30,0,1,248 15 
200,2,2,2,21,1,20,0,11,1,175.081,30,0,1,248 21 
201,8,2,3,18,1,41,1,11,3,126.60600000000001,30,0,1,248 18 
202,4,1,2,28,1,47,1,13,9,196.78099999999998,30,0,1,248 28 
203,1,8,2,19,0,14,0,4,9,158.401,30,0,1,248 19 
204,8,2,2,13,0,49,0,8,7,193.945,30,0,1,248 13 
205,4,2,1,7,1,18,0,15,1,472.259,30,0,1,248 7 
206,1,4,4,22,0,9,1,4,2,273.959,30,0,1,248 22 
207,2,4,3,16,0,23,1,1,5,206.345,30,0,1,248 16 
208,2,4,7,13,1,40,1,6,8,171.271,30,0,1,248 13 
209,4,1,5,4,0,13,0,6,2,69.039,30,0,1,248 4 
210,1,8,4,18,1,33,0,1,5,81.281,30,0,1,248 18 
211,8,8,6,26,0,21,1,14,2,59.778999999999996,30,0,1,248 26 
212,4,1,7,29,1,38,1,13,2,55.358999999999995,30,0,1,248 29 
213,8,4,4,24,0,23,1,10,9,89.056,30,0,1,248 24 
214,1,1,4,25,1,37,1,2,7,84.01,30,0,1,248 25 
215,4,1,1,20,1,28,0,12,1,391.796,30,0,1,248 20 
216,2,8,3,26,0,46,1,5,7,250.25400000000002,30,0,1,248 26 
217,2,8,3,24,0,33,1,6,5,199.273,30,0,1,248 24 
