index,spark.executor.memory,spark.driver.memory,spark.executor.cores,spark.default.parallelism,spark.driver.supervise,spark.shuffle.io.maxRetries,spark.memory.useLegacyMode,spark.driver.maxResultSize,spark.driver.cores,duration,dataSize(G),N_Node,N_Neis,Node_fetures
85,4,1,5,23,1,10,1,5,6,511.274,10,0,1,88 8 
86,1,1,5,8,0,27,1,10,5,534.37,10,0,1,88 8 
87,8,1,3,15,0,49,0,2,2,538.325,10,0,1,88 8 
88,8,8,7,17,0,47,1,4,4,447.6,10,0,1,88 8 
89,1,1,2,21,0,12,0,3,7,329.594,10,0,1,88 8 
90,1,4,3,2,0,4,0,7,5,331.173,10,0,1,88 8 
91,2,4,2,21,0,40,0,7,5,394.135,10,0,1,88 8 
92,8,8,2,16,1,31,0,1,1,294.318,10,0,1,88 8 
93,1,8,4,29,1,10,0,11,6,438.796,10,0,1,88 8 
94,1,8,8,22,0,37,0,9,6,404.999,10,0,1,88 8 
95,8,4,5,4,0,38,0,7,4,356.255,10,0,1,88 8 
96,4,4,8,26,1,32,1,11,5,352.79,10,0,1,88 8 
97,2,4,1,22,1,25,1,5,9,519.857,10,0,1,88 8 
98,1,8,1,13,0,30,0,3,6,614.185,10,0,1,88 8 
99,2,2,3,23,0,46,0,2,3,530.2869999999999,10,0,1,88 8 
100,8,2,5,24,0,42,1,14,3,406.61,10,0,1,88 8 
101,2,1,4,3,1,49,0,8,5,379.199,10,0,1,88 8 
102,4,4,1,18,0,8,1,2,2,531.278,10,0,1,88 8 
103,1,2,5,20,0,47,0,4,5,418.074,10,0,1,88 8 
104,1,1,8,16,1,43,0,9,8,403.04900000000004,10,0,1,88 8 
105,1,2,4,6,0,43,0,3,4,336.75,10,0,1,88 8 
106,8,8,8,15,1,49,1,14,3,367.684,10,0,1,88 8 
107,8,4,3,22,1,30,1,4,6,391.756,10,0,1,88 8 
108,2,8,8,20,0,35,1,15,5,339.148,10,0,1,88 8 
109,2,1,6,11,1,18,1,10,7,458.529,10,0,1,88 8 
110,2,8,7,5,1,37,0,7,6,331.74,10,0,1,88 8 
111,1,1,1,25,0,11,1,12,2,592.006,10,0,1,88 8 
112,2,8,1,9,1,11,0,15,2,774.48,10,0,1,88 8 
